브랜드마켓,브랜드,제조사,마켓,유형,URL,패턴변수,확인,비고
century_oce,Century,Century Yuasa,오세아니아,pdf,https://www.centurybatteries.com.au/media/3mmlm2ll/amktg-019-century-au-cross-reference-chart_rev.pdf,,검색확인,호주 크로스레퍼런스 차트
century_oce,Century,Century Yuasa,오세아니아,productlist,https://www.centurybatteries.com.au/products,,패턴추정,제품 목록
supercharge_oce,SuperCharge,SuperCharge,오세아니아,pdf,https://www.supercharge.com.au/wp-content/uploads/2020/09/2019-Battery-Fitment-Guide-158ppCover-page-A4-lo.res_..pdf,,검색확인,158쪽 차량 적합 가이드 — 피트먼트 원천
delkor_oce,Delkor,Delkor,오세아니아,pattern,https://www.delkor.com/products/product-details/{code},code=56219|60038|55D23L|80D26L|115D31R,검색확인,규격코드로 제품 상세가 열린다 — 코드 목록을 돌려 긁는다
delkor_oce,Delkor,Delkor,오세아니아,sitemap,https://www.delkor.com/sitemap.xml,,패턴추정,제품 URL 일괄 발굴
rocket_kr,Rocket,세방전지,한국,productlist,https://rocketbattery.kr/rocket/batterysize.html,,검색확인,규격·외형·단자위치 표
rocket_kr,Rocket,세방전지,한국,productlist,https://www.globalbattery.com,,미확인,자사 — 사내 최신본 사용
atlas_kr,Atlas BX,한국앤컴퍼니,한국,productlist,https://www.hankookncompany.com,,미확인,제품 카탈로그 경로 확인 필요
amaron_in,Amaron,Amara Raja,인도,productlist,https://www.amaron.in/product-range,,패턴추정,제품 레인지
amaron_in,Amaron,Amara Raja,인도,fitment,https://www.amaron.in/battery-finder,,패턴추정,차량 검색
rahim_in,Lucas,Rahimafrooz,방글라데시,pdf,http://www.rahimafrooz-batteries.com/wp-content/uploads/2018/01/Automotive-DIN.pdf,,검색확인,DIN 규격표
rahim_in,Spark,Rahimafrooz,방글라데시,pdf,http://www.rahimafrooz-batteries.com/wp-content/uploads/2018/01/Automotive-JIS.pdf,,검색확인,JIS 규격표
banner_eu,Banner,Banner Batterien,유럽,productlist,https://www.bannerbatterien.com/en/products,,패턴추정,제품 목록
banner_eu,Banner,Banner Batterien,유럽,fitment,https://www.bannerbatterien.com/en/battery-finder,,패턴추정,차량 검색
tab_eu,TAB,TAB Batteries,유럽,productlist,https://www.tabbatteries.com/en/products/starter-batteries/,,패턴추정,시동 배터리
moll_eu,MOLL,Moll Batterien,유럽,productlist,https://www.moll-batterien.de/produkte/,,패턴추정,제품 목록
fiamm_eu,FIAMM,FIAMM,유럽,productlist,https://www.fiamm.com/en/automotive/,,패턴추정,자동차 배터리
rombat_eu,Rombat,Rombat,유럽,productlist,https://www.rombat.ro/produse/,,패턴추정,제품 목록
monbat_eu,Monbat,Monbat,유럽,productlist,https://www.monbat.com/en/products/,,패턴추정,제품 목록
midac_eu,Midac,Midac,유럽,productlist,https://www.midacbatteries.com/en/starter/,,패턴추정,시동 배터리
mutlu_mea,Mutlu,Mutlu Akü,터키·중동,productlist,https://www.mutlu.com.tr/en/products,,패턴추정,제품 목록
inci_mea,İnci Akü,İnci GS Yuasa,터키,productlist,https://www.incigsyuasa.com/en/products,,패턴추정,제품 목록
camel_cn,Camel,Camel Group,중국,productlist,https://www.camelgroup.com/product,,패턴추정,제품 목록
leoch_cn,Leoch,Leoch,중국,productlist,https://www.leoch.com/products/automotive-battery/,,패턴추정,자동차 배터리
acdelco_na,ACDelco,ACDelco,북미,productlist,https://www.acdelco.com/parts/batteries.html,,패턴추정,배터리 카테고리
interstate_na,Interstate,Interstate,북미,fitment,https://www.interstatebatteries.com/battery-finder,,패턴추정,차량 검색
eastpenn_na,Deka,East Penn,북미,productlist,https://www.dekabatteries.com/products/automotive/,,패턴추정,자동차 배터리
eastpenn_na,Deka,East Penn,북미,pdf,https://www.dekabatteries.com/literature/,,패턴추정,자료실 — PDF 링크를 훑는다
moura_lat,Moura,Moura,브라질,productlist,https://www.moura.com.br/produtos/,,패턴추정,제품 목록
heliar_lat,Heliar,Clarios,브라질,productlist,https://www.heliar.com.br/produtos,,패턴추정,제품 목록
lth_lat,LTH,Clarios,멕시코,productlist,https://www.lth.com.mx/productos,,패턴추정,제품 목록
3k_sea,3K,3K Battery,태국,productlist,http://www.3kbattery.com/product,,패턴추정,제품 목록
motolite_sea,Motolite,Philippine Batteries,필리핀,productlist,https://www.motolite.com/products,,패턴추정,제품 목록
pinaco_sea,PINACO,PINACO,베트남,productlist,https://en.pinaco.com/products,,패턴추정,제품 목록
uplus_ref,참고자료,U-Plus,-,pattern,https://www.uplusbattery.com/pdf/sli/automobile-battery/jis-series/{code}.pdf,code=55D23L|75D23R|80D26L|95D31L|115D31R,검색확인,JIS 규격별 스펙시트 — 규격 표준값 대조용
toyota_fit,토요타,OEM,북미,pdf,https://www.toyotapartsandservice.com/wp-content/uploads/2023/09/03_Batteries2023_hi.pdf,,검색확인,차종별 적용 배터리 (2023) — 피트먼트 대조 원천
toyota_fit,토요타,OEM,북미,pattern,https://www.toyotapartsandservice.com/wp-content/uploads/{yyyy}/{mm}/03_Batteries{yyyy}_hi.pdf,yyyy=2020|2022|2023,검색확인,연도별 적용표 — 연식 변화 추적용
gb_export,Rocket / Global,Sebang,수출(유럽),pdf,https://sebang-europe.com/assets/downloads/rocket_catalogue_2023_en.pdf,,검색확인,ROCKET 2023 영문 카탈로그 — 자사 유럽법인 배포본
gb_export,Rocket / Global,Sebang,수출(유럽),productlist,https://www.sebang-europe.com/support/downloads,,검색확인,ROCKET·GLOBAL 카탈로그 2025 다운로드 페이지
gb_export,Rocket / Global,Sebang,수출(유럽),productlist,https://www.sebang-europe.com/products/all-batteries,,검색확인,전 제품 목록
rocket_na,Rocket / Global,Sebang,북미,productlist,https://www.gbatteryusa.com/products/,,검색확인,자사 북미법인 제품 목록
rocket_mea,Rocket,Sebang,중동,productlist,https://rocketbatteries.ae/about-us/,,검색확인,자사 중동 유통
rocket_sea,Rocket,Sebang,동남아,productlist,https://sebangglobal.my/products/,,검색확인,말레이시아 채널 제품 목록
recor_eu,Recor,Recor,그리스,productlist,https://eu.recorbatteries.gr/catalogues/,,검색확인,그리스 유일 스타터배터리 공장 — 브랜드·카탈로그 목록
recor_eu,Recor,Recor,그리스,productlist,https://eu.recorbatteries.gr/portfolio/master-line/,,검색확인,Master Line 시리즈
sakkos_eu,Sakkos,Sakkos,그리스,productlist,https://www.sakkos-automotive.gr/en/,,검색확인,그리스 생산·유통
mebco_mea,ACDelco / MEBCO,MEBCO,사우디·GCC,productlist,https://mebco.com/,,검색확인,아랍권 최대 납축전지 공장 — ACDelco 위탁생산 + 자체 브랜드
acdelco_mea,ACDelco,MEBCO,중동,productlist,https://www.roussakis.eu/en/manufacturers,,검색확인,유통사 브랜드 페이지 — ACDelco·Yuasa·GS·Trojan 병렬
aag_uk_eu,NAPA / Platinum,Alliance Automotive,영국,productlist,https://www.tayna.co.uk/car-batteries/napa/,,검색확인,AAG 계열 NAPA 배터리 목록
cyb_nz_oce,Century / Yuasa,Century Yuasa,뉴질랜드,productlist,https://www.cyb.co.nz/divisions/automotive,,검색확인,뉴질랜드 자동차 배터리 부문
